Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
gremio,Rodrigo Ely,31.0,4.0,1.88,1500000,2000000.0,20.0,1.5,-1.0,-1.3,0,1,0,0,2.04561403508772,4.184536780547863,14.50865773852422,11,13966,1.0
gremio,Fabián Balbuena,34.0,4.0,1.89,0,2000000.0,75.0,1.33,1.0,0.7,0,1,0,0,5.04561403508772,25.45822099107418,14.50865773852422,11,13966,1.0
gremio,Lucas Esteves,25.0,3.0,1.71,950000000,1800000.0,85.0,0.5,-9.0,-5.5,0,1,0,0,-3.95438596491228,15.637168359495226,14.403297222866392,11,13966,1.0
gremio,João Pedro,28.0,2.0,1.79,0,3000000.0,64.0,0.67,-6.0,-3.7,0,1,0,0,-0.95438596491228,0.910852570021544,14.914122846632385,11,13966,1.0
gremio,Gustavo Cuéllar,32.0,5.0,1.76,0,2500000.0,62.0,2.0,1.0,0.8,0,0,1,0,3.04561403508772,9.275764850723304,14.73180128983843,11,13966,1.0
gremio,Martin Braithwaite,34.0,11.0,1.77,0,2700000.0,84.0,1.13,-5.0,-3.6,0,0,0,1,5.04561403508772,25.45822099107418,14.808762330974558,11,13966,1.0
juventude,Lucas Fernandes,27.0,7.0,1.75,0,1500000.0,70.0,0.0,-2.0,-1.4,0,0,1,0,-1.95438596491228,3.819624499846104,14.22097566607244,12,14238,1.0
palmeiras,Micael,25.0,4.0,1.83,4800000,5000000.0,90.0,2.22,6.0,4.0,0,1,0,0,-3.95438596491228,15.637168359495226,15.424948470398377,14,13482,1.0
palmeiras,Joaquín Piquerez,27.0,3.0,1.84,3200000,1400000.0,84.0,2.17,12.0,9.9,0,1,0,0,-1.95438596491228,3.819624499846104,14.151982794585487,14,13482,1.0
palmeiras,Jefté,21.0,3.0,1.83,7000000,4000000.0,1.0,3.0,0.0,0.0,0,1,0,0,-7.95438596491228,63.27225607879347,15.201804919084164,14,13482,1.0
palmeiras,Khellven,24.0,2.0,1.76,6000000,5000000.0,55.0,3.0,4.0,1.9,0,1,0,0,-4.95438596491228,24.545940289319784,15.424948470398377,14,13482,1.0
palmeiras,Aníbal Moreno,26.0,5.0,1.77,6450000,1100000.0,58.0,2.43,8.0,4.7,0,0,1,0,-2.95438596491228,8.728396429670665,13.9108207377686,14,13482,1.0
palmeiras,Emiliano Martínez,26.0,5.0,1.85,7150000,7000000.0,57.0,2.19,3.0,5.2,0,0,1,0,-2.95438596491228,8.728396429670665,15.761420707019589,14,13482,1.0
palmeiras,Lucas Evangelista,30.0,6.0,1.81,4000000,3500000.0,57.0,2.13,11.0,7.6,0,0,1,0,1.04561403508772,1.0933087103724235,15.068273526459642,14,13482,1.0
palmeiras,Raphael Veiga,30.0,7.0,1.76,1300000,1500000.0,36.0,1.8,-2.0,0.9,0,0,1,0,1.04561403508772,1.0933087103724235,14.22097566607244,14,13482,1.0
palmeiras,Mauricio,24.0,7.0,1.74,10500000,1100000.0,49.0,2.21,6.0,3.7,0,0,1,0,-4.95438596491228,24.545940289319784,13.9108207377686,14,13482,1.0
palmeiras,Paulinho,25.0,9.0,1.77,18000000,1600000.0,32.0,1.71,-1.0,0.9,0,0,0,1,-3.95438596491228,15.637168359495226,14.28551418721001,14,13482,1.0
palmeiras,Facundo Torres,25.0,9.0,1.77,11500000,1400000.0,67.0,2.29,9.0,7.8,0,0,0,1,-3.95438596491228,15.637168359495226,14.151982794585487,14,13482,1.0
palmeiras,Felipe Anderson,32.0,8.0,1.75,0,4000000.0,56.0,2.5,12.0,7.8,0,0,0,1,3.04561403508772,9.275764850723304,15.201804919084164,14,13482,1.0
palmeiras,Vitor Roque,20.0,11.0,1.74,25500000,2000000.0,58.0,2.17,17.0,10.7,0,0,0,1,-8.95438596491228,80.18102800861803,14.50865773852422,14,13482,1.0
santos,Gonzalo Escobar,28.0,3.0,1.71,0,1000000.0,71.0,0.95,-10.0,-4.3,0,1,0,0,-0.95438596491228,0.910852570021544,13.815510557964274,15,11587,1.0
santos,Mayke,32.0,2.0,1.78,0,2500000.0,75.0,1.5,-6.0,-1.6,0,1,0,0,3.04561403508772,9.275764850723304,14.73180128983843,15,11587,1.0
santos,João Schmidt,32.0,5.0,1.83,0,1000000.0,68.0,1.0,-4.0,-3.0,0,0,1,0,3.04561403508772,9.275764850723304,13.815510557964274,15,11587,1.0
santos,Zé Rafael,32.0,6.0,1.75,2500000,3000000.0,58.0,1.45,-6.0,-4.3,0,0,1,0,3.04561403508772,9.275764850723304,14.914122846632385,15,11587,1.0
santos,Neymar,33.0,7.0,1.75,0,1200000.0,74.0,1.45,-5.0,-2.1,0,0,1,0,4.04561403508772,16.366992920898742,13.997832114758229,15,11587,1.0
santos,Thaciano,30.0,7.0,1.82,4500000,1500000.0,32.0,1.0,-4.0,-2.7,0,0,1,0,1.04561403508772,1.0933087103724235,14.22097566607244,15,11587,1.0
santos,Guilherme,30.0,9.0,1.78,900000000,3000000.0,80.0,1.14,-6.0,-4.7,0,0,0,1,1.04561403508772,1.0933087103724235,14.914122846632385,15,11587,1.0
santos,Benjamín Rollheiser,25.0,8.0,1.72,11000000,8000000.0,71.0,0.95,-11.0,-8.5,0,0,0,1,-3.95438596491228,15.637168359495226,15.89495209964411,15,11587,1.0
santos,Tiquinho Soares,34.0,11.0,1.87,3000000,1500000.0,62.0,0.94,-3.0,-0.6,0,0,0,1,5.04561403508772,25.45822099107418,14.22097566607244,15,11587,1.0
spfc,Alan Franco,28.0,4.0,1.83,285000000,4500000.0,81.0,1.25,-2.0,4.3,0,1,0,0,-0.95438596491228,0.910852570021544,15.319587954740548,16,12396,1.0
spfc,Nahuel Ferraresi,26.0,4.0,1.9,4300000,3000000.0,77.0,1.76,11.0,9.0,0,1,0,0,-2.95438596491228,8.728396429670665,14.914122846632385,16,12396,1.0
