Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc
atletico_mineiro,Everson,35.0,1.0,1.92,1000000,1200000.0,90.0,1.33,-2.0,2.4,1,0,0,0,2.0714285714285694,4.290816326530604,13.997832114758229,1,19626
botafogo,Neto,36.0,1.0,1.9,0,1500000.0,90.0,3.0,2.0,0.8,1,0,0,0,3.0714285714285694,9.433673469387742,14.22097566607244,3,18360
ceara,Fernando Miguel,40.0,1.0,1.91,0,100000.0,82.0,1.38,0.0,-1.6,1,0,0,0,7.071428571428569,50.0051020408163,11.512925464970229,5,17630
corinthians,Hugo Souza,26.0,1.0,1.99,800000000,10000000.0,90.0,1.13,-5.0,0.0,1,0,0,0,-6.928571428571431,48.005102040816354,16.11809565095832,6,17095
flamengo,Agustín Rossi,30.0,1.0,1.93,0,7000000.0,90.0,2.3,35.0,16.1,1,0,0,0,-2.9285714285714306,8.576530612244909,15.761420707019589,8,16044
fortaleza,Brenno,26.0,1.0,1.9,0,1000000.0,90.0,0.5,-1.0,-1.5,1,0,0,0,-6.928571428571431,48.005102040816354,13.815510557964274,10,14121
fortaleza,Helton Leite,34.0,1.0,1.96,300000000,600000.0,90.0,0.0,-2.0,1.5,1,0,0,0,1.0714285714285694,1.147959183673465,13.304684934198283,10,14121
gremio,Tiago Volpi,34.0,1.0,1.89,0,1000000.0,90.0,1.2,-6.0,-5.9,1,0,0,0,1.0714285714285694,1.147959183673465,13.815510557964274,11,13966
mirassol,Walter,37.0,1.0,1.88,0,200000.0,90.0,1.92,9.0,1.6,1,0,0,0,4.071428571428569,16.57653061224488,12.206072645530174,13,12830
mirassol,Alex Muralha,35.0,1.0,1.89,0,175000.0,90.0,1.17,2.0,2.2,1,0,0,0,2.0714285714285694,4.290816326530604,12.072541252905651,13,12830
palmeiras,Marcelo Lomba,38.0,1.0,1.89,0,150000.0,90.0,1.0,0.0,0.8,1,0,0,0,5.071428571428569,25.71938775510202,11.918390573078392,14,13482
vasco,Léo Jardim,30.0,1.0,1.88,2000000,7000000.0,90.0,1.0,0.0,-2.7,1,0,0,0,-2.9285714285714306,8.576530612244909,15.761420707019589,18,10871
vasco,Daniel Fuzato,28.0,1.0,1.9,0,900000.0,46.0,0.5,-2.0,-0.2,1,0,0,0,-4.928571428571431,24.29081632653063,13.710150042306449,18,10871
internacional,Sergio Rochet,32.0,1.0,1.9,1450000,3500000.0,84.0,1.75,4.0,4.2,1,0,0,0,-0.9285714285714306,0.8622448979591875,15.068273526459642,20,9130
