Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc
atletico_mineiro,Alexsander,21.0,5.0,1.78,6500000,5000000.0,58.0,1.0,-1.0,-0.1,0,0,1,0,-7.413793103448278,54.96432818073724,15.424948470398377,1,19626
atletico_mineiro,Fausto Vera,25.0,5.0,1.8,4500000,5000000.0,64.0,1.33,-3.0,-0.9,0,0,1,0,-3.4137931034482776,11.653983353151023,15.424948470398377,1,19626
atletico_mineiro,Gabriel Menino,24.0,6.0,1.76,0,7000000.0,50.0,1.14,-1.0,-1.1,0,0,1,0,-4.413793103448278,19.48156956004758,15.761420707019589,1,19626
atletico_mineiro,Alan Franco,27.0,6.0,1.76,2100000,4000000.0,85.0,1.13,-3.0,2.1,0,0,1,0,-1.4137931034482776,1.998810939357912,15.201804919084164,1,19626
atletico_mineiro,Gustavo Scarpa,31.0,7.0,1.77,5000000,7500000.0,76.0,1.26,-3.0,2.9,0,0,1,0,2.5862068965517224,6.6884661117716915,15.83041357850654,1,19626
atletico_mineiro,Igor Gomes,26.0,7.0,1.83,0,3500000.0,39.0,1.35,1.0,-0.1,0,0,1,0,-2.4137931034482776,5.826397146254467,15.068273526459642,1,19626
atletico_mineiro,Reinier,23.0,7.0,1.85,0,1500000.0,52.0,0.0,-2.0,-0.5,0,0,1,0,-5.413793103448278,29.309155766944134,14.22097566607244,1,19626
bahia,Caio Alexandre,26.0,5.0,1.74,4500000,6500000.0,74.0,1.88,5.0,4.6,0,0,1,0,-2.4137931034482776,5.826397146254467,15.687312734865866,2,19459
bahia,Erick,27.0,5.0,1.76,4500000,4500000.0,52.0,1.88,2.0,0.3,0,0,1,0,-1.4137931034482776,1.998810939357912,15.319587954740548,2,19459
bahia,Nicolás Acevedo,26.0,5.0,1.73,2850000,4000000.0,33.0,2.21,4.0,-1.3,0,0,1,0,-2.4137931034482776,5.826397146254467,15.201804919084164,2,19459
