Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age2,cluster
atletico_mineiro,Everson,35.0,1.0,1.92,1000000,1200000.0,90.0,1.33,-2.0,2.4,1,0,0,0,1225.0,3
atletico_mineiro,Lyanco,28.0,4.0,1.87,4500000,6000000.0,90.0,1.33,-1.0,3.0,0,1,0,0,784.0,1
atletico_mineiro,Júnior Alonso,32.0,4.0,1.85,1100000,3500000.0,86.0,1.33,-1.0,2.7,0,1,0,0,1024.0,1
atletico_mineiro,Guilherme Arana,28.0,3.0,1.76,2500000,1000000000.0,74.0,0.5,-6.0,-0.3,0,1,0,0,784.0,1
atletico_mineiro,Natanael,23.0,2.0,1.72,1120000,5000000.0,72.0,1.26,-4.0,-0.2,0,1,0,0,529.0,1
atletico_mineiro,Renzo Saravia,32.0,2.0,1.78,0,2000000.0,30.0,1.38,0.0,0.8,0,1,0,0,1024.0,1
atletico_mineiro,Alexsander,21.0,5.0,1.78,6500000,5000000.0,58.0,1.0,-1.0,-0.1,0,0,1,0,441.0,2
atletico_mineiro,Fausto Vera,25.0,5.0,1.8,4500000,5000000.0,64.0,1.33,-3.0,-0.9,0,0,1,0,625.0,2
atletico_mineiro,Gabriel Menino,24.0,6.0,1.76,0,7000000.0,50.0,1.14,-1.0,-1.1,0,0,1,0,576.0,2
atletico_mineiro,Alan Franco,27.0,6.0,1.76,2100000,4000000.0,85.0,1.13,-3.0,2.1,0,0,1,0,729.0,2
atletico_mineiro,Gustavo Scarpa,31.0,7.0,1.77,5000000,7500000.0,76.0,1.26,-3.0,2.9,0,0,1,0,961.0,2
atletico_mineiro,Igor Gomes,26.0,7.0,1.83,0,3500000.0,39.0,1.35,1.0,-0.1,0,0,1,0,676.0,2
atletico_mineiro,Reinier,23.0,7.0,1.85,0,1500000.0,52.0,0.0,-2.0,-0.5,0,0,1,0,529.0,2
atletico_mineiro,Dudu,33.0,9.0,1.66,0,2000000.0,69.0,1.5,0.0,-0.3,0,0,0,1,1089.0,0
atletico_mineiro,Bernard,32.0,9.0,1.67,0,1000000.0,20.0,1.21,4.0,5.5,0,0,0,1,1024.0,0
atletico_mineiro,Júnior Santos,30.0,8.0,1.88,7600000,5000000.0,24.0,1.14,2.0,3.1,0,0,0,1,900.0,0
atletico_mineiro,Rony,30.0,11.0,1.67,6500000,6500000.0,81.0,1.33,-2.0,-0.3,0,0,0,1,900.0,0
atletico_mineiro,Hulk,39.0,11.0,1.8,0,1500000.0,81.0,1.25,-5.0,1.8,0,0,0,1,1521.0,0
bahia,Santiago Ramos Mingo,23.0,4.0,1.86,4350000,6000000.0,90.0,1.83,7.0,1.9,0,1,0,0,529.0,1
bahia,Kanu,28.0,4.0,1.86,2000000,3500000.0,51.0,1.0,0.0,0.9,0,1,0,0,784.0,1
bahia,David Duarte,30.0,4.0,1.93,560000000,1200000.0,89.0,2.19,14.0,6.2,0,1,0,0,900.0,1
bahia,Luciano Juba,25.0,3.0,1.76,0,5000000.0,85.0,1.89,11.0,5.1,0,1,0,0,625.0,1
bahia,Iago,28.0,3.0,1.81,0,3500000.0,47.0,1.0,-1.0,-0.2,0,1,0,0,784.0,1
bahia,Gilberto,32.0,2.0,1.81,2500000,2500000.0,79.0,1.8,6.0,4.8,0,1,0,0,1024.0,1
bahia,Santiago Arias,33.0,2.0,1.78,0,2000000.0,42.0,2.0,4.0,-0.4,0,1,0,0,1089.0,1
bahia,Caio Alexandre,26.0,5.0,1.74,4500000,6500000.0,74.0,1.88,5.0,4.6,0,0,1,0,676.0,2
bahia,Erick,27.0,5.0,1.76,4500000,4500000.0,52.0,1.88,2.0,0.3,0,0,1,0,729.0,2
bahia,Nicolás Acevedo,26.0,5.0,1.73,2850000,4000000.0,33.0,2.21,4.0,-1.3,0,0,1,0,676.0,2
bahia,Jean Lucas,27.0,6.0,1.81,4500000,8000000.0,77.0,1.94,9.0,6.1,0,0,1,0,729.0,2
bahia,Everton Ribeiro,36.0,7.0,1.74,0,1500000.0,64.0,1.88,7.0,6.4,0,0,1,0,1296.0,2
bahia,Erick Pulga,24.0,9.0,1.69,3000000,6000000.0,74.0,1.87,5.0,3.4,0,0,0,1,576.0,0
bahia,Michel Araújo,28.0,9.0,1.78,2750000,1500000.0,27.0,2.18,5.0,-0.9,0,0,0,1,784.0,0
bahia,Willian José,33.0,11.0,1.86,0,1800000.0,53.0,1.94,7.0,4.7,0,0,0,1,1089.0,0
botafogo,Neto,36.0,1.0,1.9,0,1500000.0,90.0,3.0,2.0,0.8,1,0,0,0,1296.0,3
botafogo,Alexander Barboza,30.0,4.0,1.93,0,5000000.0,89.0,1.58,5.0,4.5,0,1,0,0,900.0,1
botafogo,Cuiabano,22.0,3.0,1.79,1450000,8000000.0,49.0,1.31,4.0,1.8,0,1,0,0,484.0,1
botafogo,Alex Telles,32.0,3.0,1.81,0,4000000.0,64.0,1.72,11.0,4.2,0,1,0,0,1024.0,1
botafogo,Vitinho,26.0,2.0,1.74,8000000,6000000.0,73.0,1.68,10.0,4.6,0,1,0,0,676.0,1
botafogo,Mateo Ponte,22.0,2.0,1.83,1800000,2000000.0,28.0,1.5,3.0,1.8,0,1,0,0,484.0,1
botafogo,Danilo,24.0,5.0,1.77,23000000,2800000.0,39.0,1.5,6.0,1.4,0,0,1,0,576.0,2
botafogo,Marlon Freitas,30.0,5.0,1.85,0,6000000.0,85.0,1.65,8.0,4.6,0,0,1,0,900.0,2
botafogo,Allan,34.0,5.0,1.75,0,2000000.0,47.0,1.8,-2.0,0.0,0,0,1,0,1156.0,2
botafogo,Newton,25.0,5.0,1.88,190000000,1000000.0,59.0,1.75,5.0,1.1,0,0,1,0,625.0,2
botafogo,Jefferson Savarino,28.0,7.0,1.68,2450000,1000000000.0,71.0,1.46,4.0,2.3,0,0,1,0,784.0,2
botafogo,Álvaro Montoro,18.0,7.0,1.7,7900000,3500000.0,70.0,1.75,2.0,4.0,0,0,1,0,324.0,2
botafogo,Jordan Barrera,19.0,7.0,1.8,4300000,1000000.0,4.0,1.0,0.0,0.0,0,0,1,0,361.0,2
botafogo,Kauan Lindes,21.0,7.0,1.8,160000000,400000.0,31.0,3.0,1.0,0.1,0,0,1,0,441.0,2
botafogo,Matheus Martins,22.0,9.0,1.83,10000000,7000000.0,56.0,1.38,3.0,1.0,0,0,0,1,484.0,0
botafogo,Jeffinho,25.0,9.0,1.76,5300000,5000000.0,25.0,1.4,2.0,0.2,0,0,0,1,625.0,0
botafogo,Artur,27.0,8.0,1.68,10000000,8000000.0,77.0,1.8,11.0,4.7,0,0,0,1,729.0,0
botafogo,Nathan Fernandes,20.0,8.0,1.76,7200000,6000000.0,33.0,1.8,6.0,2.8,0,0,0,1,400.0,0
botafogo,Joaquín Correa,31.0,10.0,1.88,0,3000000.0,49.0,1.75,2.0,3.0,0,0,0,1,961.0,0
botafogo,Arthur Cabral,27.0,11.0,1.86,12000000,1000000000.0,85.0,2.0,6.0,3.8,0,0,0,1,729.0,0
bragantino,Pedro Henrique,29.0,4.0,1.88,1500000,3500000.0,87.0,1.42,-2.0,-2.5,0,1,0,0,841.0,1
bragantino,Juninho Capixaba,28.0,3.0,1.76,400000000,6000000.0,90.0,2.17,7.0,1.7,0,1,0,0,784.0,1
bragantino,Vanderlan,22.0,3.0,1.83,7000000,3500000.0,84.0,1.5,0.0,-0.4,0,1,0,0,484.0,1
bragantino,Agustín Sant'Anna,27.0,2.0,1.73,1700000,3000000.0,41.0,1.22,-3.0,-1.3,0,1,0,0,729.0,1
