k,silhouette,calinski_harabasz,davies_bouldin,sse,silhouette_norm,calinski_norm,davies_norm,composite_score
2,0.22537312086049965,71.35871322553886,1.8286358996781527,2731.3001314122776,0.07206094042216478,0.6982061671524671,0.0,0.7702671075746319
3,0.2515397889052157,74.22179540403188,1.5554645083733998,2240.572331880873,0.4252074790116145,0.827782715357506,0.46709502655271984,1.7200852209218402
4,0.2941294887826759,78.027053726766,1.3044078577923084,1865.7642182017337,1.0,1.0,0.8963761174799435,2.8963761174799436
5,0.2747653347991198,72.51075228939915,1.2438054566720962,1679.873245731284,0.7386604996738647,0.7503448191316962,1.0,2.4890053188055608
6,0.25651607652239405,67.92266122492698,1.3214064541667199,1542.4498479956023,0.4923676823676141,0.5426983158456443,0.8673102633034101,1.9023762615166686
7,0.24117674149593238,65.22163062650104,1.3407527564786328,1420.4657002717863,0.28534732121189843,0.420455851354303,0.8342300730648993,1.5400332456311008
8,0.22531097642917877,63.510153220992045,1.4239875068539254,1312.8852250910704,0.07122223635880923,0.3429983001171609,0.6919071974849926,1.1061277339609628
9,0.2284825741056288,61.86182053587237,1.398113722484596,1224.4476011749507,0.11402626243208087,0.26839853443954015,0.7361487117200192,1.1185735085916402
10,0.234547868745407,61.281587864771794,1.3256313413442786,1137.883824649426,0.19588375395153876,0.24213853141141345,0.8600861400928559,1.298108425455808
11,0.22976074107707609,58.316547753996495,1.3558035624126576,1093.2311491234889,0.13127646184358432,0.10794760048746309,0.8084947405184897,1.0477188028495372
12,0.22003370931041522,55.93137192204205,1.3821891201600043,1051.1288036493672,0.0,0.0,0.7633781463622012,0.7633781463622012
