Player,Clube,Value_Num,fb_Mn/MP,cluster
Everson,atletico_mineiro,1200000.0,90.0,1
Lyanco,atletico_mineiro,6000000.0,90.0,0
Júnior Alonso,atletico_mineiro,3500000.0,86.0,1
Guilherme Arana,atletico_mineiro,10000000.0,74.0,0
Natanael,atletico_mineiro,5000000.0,72.0,0
Renzo Saravia,atletico_mineiro,2000000.0,30.0,2
Alexsander,atletico_mineiro,5000000.0,58.0,0
Fausto Vera,atletico_mineiro,5000000.0,64.0,0
Gabriel Menino,atletico_mineiro,7000000.0,50.0,0
Alan Franco,atletico_mineiro,4000000.0,85.0,1
Gustavo Scarpa,atletico_mineiro,7500000.0,76.0,0
Igor Gomes,atletico_mineiro,3500000.0,39.0,2
Reinier,atletico_mineiro,1500000.0,52.0,2
Dudu,atletico_mineiro,2000000.0,69.0,1
Bernard,atletico_mineiro,1000000.0,20.0,2
Júnior Santos,atletico_mineiro,5000000.0,24.0,2
Rony,atletico_mineiro,6500000.0,81.0,0
Hulk,atletico_mineiro,1500000.0,81.0,1
Santiago Ramos Mingo,bahia,6000000.0,90.0,0
Kanu,bahia,3500000.0,51.0,2
David Duarte,bahia,1200000.0,89.0,1
Luciano Juba,bahia,5000000.0,85.0,0
Iago,bahia,3500000.0,47.0,2
Gilberto,bahia,2500000.0,79.0,1
Santiago Arias,bahia,2000000.0,42.0,2
Caio Alexandre,bahia,6500000.0,74.0,0
Erick,bahia,4500000.0,52.0,0
Nicolás Acevedo,bahia,4000000.0,33.0,2
Jean Lucas,bahia,8000000.0,77.0,0
Everton Ribeiro,bahia,1500000.0,64.0,1
Erick Pulga,bahia,6000000.0,74.0,0
Michel Araújo,bahia,1500000.0,27.0,2
Willian José,bahia,1800000.0,53.0,2
Neto,botafogo,1500000.0,90.0,1
Alexander Barboza,botafogo,5000000.0,89.0,0
Cuiabano,botafogo,8000000.0,49.0,0
Alex Telles,botafogo,4000000.0,64.0,0
Vitinho,botafogo,6000000.0,73.0,0
Mateo Ponte,botafogo,2000000.0,28.0,2
Danilo,botafogo,2800000.0,39.0,2
Marlon Freitas,botafogo,6000000.0,85.0,0
Allan,botafogo,2000000.0,47.0,2
Newton,botafogo,1000000.0,59.0,1
Jefferson Savarino,botafogo,10000000.0,71.0,0
Álvaro Montoro,botafogo,3500000.0,70.0,1
Jordan Barrera,botafogo,1000000.0,4.0,2
Kauan Lindes,botafogo,400000.0,31.0,2
Matheus Martins,botafogo,7000000.0,56.0,0
Jeffinho,botafogo,5000000.0,25.0,2
Artur,botafogo,8000000.0,77.0,0
Nathan Fernandes,botafogo,6000000.0,33.0,0
Joaquín Correa,botafogo,3000000.0,49.0,2
Arthur Cabral,botafogo,10000000.0,85.0,0
Pedro Henrique,bragantino,3500000.0,87.0,1
Juninho Capixaba,bragantino,6000000.0,90.0,0
Vanderlan,bragantino,3500000.0,84.0,1
Agustín Sant'Anna,bragantino,3000000.0,41.0,2
Nathan Mendes,bragantino,1000000.0,54.0,2
Fabinho,bragantino,5000000.0,33.0,2
Matheus Fernandes,bragantino,2000000.0,38.0,2
Gabriel,bragantino,1500000.0,81.0,1
Eric Ramires,bragantino,4500000.0,63.0,0
Henry Mosquera,bragantino,2500000.0,48.0,2
Lucas Barbosa,bragantino,4000000.0,63.0,0
Ignacio Laquintana,bragantino,1500000.0,39.0,2
Isidro Pitta,bragantino,6000000.0,44.0,0
Thiago Borbas,bragantino,5000000.0,21.0,2
