k,silhouette,calinski_harabasz,davies_bouldin,sse,silhouette_norm,calinski_norm,davies_norm,composite_score
2,0.4064069622038982,171.80718011350405,1.0430170809356087,354.6777778656499,0.0,0.0,0.0,0.0
3,0.4465149013767758,287.18537279774233,0.7604491979190874,187.69907873047222,1.0,0.6984726968402325,0.8911444102053449,2.5896171070455773
4,0.44486419666445426,275.20272883719497,0.8489171703760084,144.73957625861394,0.9588434423118453,0.6259325621086612,0.6121398103351746,2.196915814755681
5,0.41937816799253286,298.5846145151262,0.8059052072031687,108.2519411519348,0.32340743643608183,0.7674810503170891,0.7477881725773661,1.838676659330537
6,0.41727782018732223,300.59203170515275,0.7565516978465663,89.24441954502919,0.2710400536055286,0.7796334862825108,0.9034360951849822,1.9541096350730216
7,0.4107115658543715,297.4443273042902,0.7942147686034987,76.82290917628535,0.10732547568497937,0.7605780172152901,0.7846567257184023,1.6525602186186719
8,0.41510749770913447,298.78944797179975,0.7705022287854995,66.66170898996538,0.21692801187650806,0.7687210643401674,0.8594398082293974,1.8450888844460729
9,0.4095423799377537,310.25066123185064,0.7913556266812195,57.04122489492473,0.07817449109865478,0.8381045790977389,0.7936737035674876,1.7099527737638813
10,0.4114342718435651,324.48087281559964,0.7539217412238083,49.05599897613684,0.12534450144640083,0.9242509645651384,0.9117302831812744,1.9613257491928136
11,0.42057777264559204,332.30378294067106,0.7259328016868507,43.419059628227515,0.35331684284782783,0.9716090398224903,1.0,2.324925882670318
12,0.410227721302875,336.9935835422836,0.7616530584064116,39.09868332299783,0.09526191516617517,1.0,0.8873477524518402,1.9826096676180152
