cluster,variable,coefficient,se_robust,t_stat,p_value
0,const,12531952.787645267,6127787.175190544,2.0451024863237985,0.045471249158075364
0,fb_Mn/MP,23715.030067090647,14744.373854560394,1.6084121510358782,0.11327042375541936
0,fb_PPM,34403.47068313166,469271.12598758115,0.07331256661216808,0.9418140570162529
0,fb_+/-,10376.469114381835,57958.880245786364,0.17903156635149467,0.8585477798390176
0,fb_xG+/-,-7777.193208126555,87980.63147367988,-0.08839665137494683,0.9298712683477213
0,Dum_GK,1810469.7279412914,1115769.131867505,1.622620375696395,0.11018922375922749
0,Dum_DEF,-471947.80734575895,571320.0316407412,-0.8260655695729751,0.41221126026958776
0,Dum_ATA,44990.199407978565,531745.4240964567,0.08460853139343143,0.9328690885212829
0,age,-134754.3703604705,60836.75991788093,-2.2150155685865833,0.030770792111536778
0,Height,-2448437.391972848,3345649.1074782587,-0.7318273116269289,0.4672722930659764
1,const,3340440.951384897,2206379.5793825877,1.5139919633953711,0.13257265578700936
1,fb_Mn/MP,10927.545496261562,7162.006521493394,1.5257659237627994,0.12961477729502954
1,fb_PPM,524598.6176123292,149489.91300154073,3.509257628686441,0.0006269552510741773
1,fb_+/-,-64888.33618934172,19905.430276600186,-3.259830874674493,0.0014392075187032436
1,fb_xG+/-,83896.59709641544,28064.58677021349,2.9894114523524564,0.0033714035812395524
1,Dum_GK,-206466.56636771013,358361.77799313917,-0.5761400323548538,0.5655647840598441
1,Dum_DEF,-18170.923692977725,209096.89910003718,-0.08690192810695056,0.9308896419603094
1,Dum_ATA,134634.53345957588,205327.65443835585,0.6557057977789168,0.5132281938968823
1,age,-101405.12543947349,15863.980772293684,-6.3921613934742485,3.0088495352284434e-09
1,Height,-175845.95512203127,1222348.3291853552,-0.1438591201243146,0.8858452507992113
2,const,5044554.455598427,4682756.671448878,1.0772617091884056,0.2841202489964747
2,fb_Mn/MP,8711.025060085085,8869.709611773502,0.9821093859174621,0.32856701015392986
2,fb_PPM,299108.5564887342,273492.74059458135,1.0936617763179501,0.27689807154345225
2,fb_+/-,34147.78785105403,48310.90808593592,0.7068339057156949,0.48141822543362
2,fb_xG+/-,71475.81431052505,70385.84995597399,1.015485560737461,0.31248109701863896
2,Dum_GK,-784410.3077644069,428525.16413784993,-1.8304883199626387,0.07034564824965242
2,Dum_DEF,169962.61052477505,373304.1520283768,0.4552925800617811,0.6499486632914875
2,Dum_ATA,137355.86716680278,320506.87887055636,0.42855825014063714,0.66922519061101
2,age,-104672.7113866974,38434.11168682002,-2.7234325653113034,0.00770252174292908
2,Height,-472094.16918450734,2583525.6111825956,-0.1827325292000526,0.8554014253272011
