Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
atletico_mineiro,Dudu,33.0,9.0,1.66,0,2000000.0,69.0,1.5,0.0,-0.3,1,4.04561403508772,16.366992920898742,14.50865773852422,1,19626,2.0
atletico_mineiro,Bernard,32.0,9.0,1.67,0,1000000.0,20.0,1.21,4.0,5.5,1,3.04561403508772,9.275764850723304,13.815510557964274,1,19626,2.0
atletico_mineiro,Júnior Santos,30.0,8.0,1.88,7600000,5000000.0,24.0,1.14,2.0,3.1,1,1.04561403508772,1.0933087103724235,15.424948470398377,1,19626,2.0
atletico_mineiro,Rony,30.0,11.0,1.67,6500000,6500000.0,81.0,1.33,-2.0,-0.3,1,1.04561403508772,1.0933087103724235,15.687312734865866,1,19626,2.0
atletico_mineiro,Hulk,39.0,11.0,1.8,0,1500000.0,81.0,1.25,-5.0,1.8,1,10.04561403508772,100.91436134195138,14.22097566607244,1,19626,2.0
bahia,Erick Pulga,24.0,9.0,1.69,3000000,6000000.0,74.0,1.87,5.0,3.4,1,-4.95438596491228,24.545940289319784,15.60727002719233,2,19459,2.0
bahia,Michel Araújo,28.0,9.0,1.78,2750000,1500000.0,27.0,2.18,5.0,-0.9,1,-0.95438596491228,0.910852570021544,14.22097566607244,2,19459,2.0
bahia,Willian José,33.0,11.0,1.86,0,1800000.0,53.0,1.94,7.0,4.7,1,4.04561403508772,16.366992920898742,14.403297222866392,2,19459,2.0
botafogo,Matheus Martins,22.0,9.0,1.83,10000000,7000000.0,56.0,1.38,3.0,1.0,1,-6.95438596491228,48.36348414896891,15.761420707019589,3,18360,2.0
botafogo,Jeffinho,25.0,9.0,1.76,5300000,5000000.0,25.0,1.4,2.0,0.2,1,-3.95438596491228,15.637168359495226,15.424948470398377,3,18360,2.0
botafogo,Artur,27.0,8.0,1.68,10000000,8000000.0,77.0,1.8,11.0,4.7,1,-1.95438596491228,3.819624499846104,15.89495209964411,3,18360,2.0
botafogo,Nathan Fernandes,20.0,8.0,1.76,7200000,6000000.0,33.0,1.8,6.0,2.8,1,-8.95438596491228,80.18102800861803,15.60727002719233,3,18360,2.0
botafogo,Joaquín Correa,31.0,10.0,1.88,0,3000000.0,49.0,1.75,2.0,3.0,1,2.04561403508772,4.184536780547863,14.914122846632385,3,18360,2.0
botafogo,Arthur Cabral,27.0,11.0,1.86,12000000,10000000.0,85.0,2.0,6.0,3.8,1,-1.95438596491228,3.819624499846104,16.11809565095832,3,18360,2.0
bragantino,Henry Mosquera,23.0,9.0,1.75,2300000,2500000.0,48.0,1.82,6.0,4.5,1,-5.95438596491228,35.45471221914435,14.73180128983843,4,18294,2.0
bragantino,Lucas Barbosa,24.0,8.0,1.94,2500000,4000000.0,63.0,1.33,-2.0,-0.5,1,-4.95438596491228,24.545940289319784,15.201804919084164,4,18294,2.0
bragantino,Ignacio Laquintana,26.0,8.0,1.73,690000000,1500000.0,39.0,1.17,-1.0,-3.6,1,-2.95438596491228,8.728396429670665,14.22097566607244,4,18294,2.0
bragantino,Isidro Pitta,26.0,11.0,1.83,4350000,6000000.0,44.0,1.38,-7.0,-6.2,1,-2.95438596491228,8.728396429670665,15.60727002719233,4,18294,2.0
bragantino,Thiago Borbas,23.0,11.0,1.86,4800000,5000000.0,21.0,1.55,4.0,0.6,1,-5.95438596491228,35.45471221914435,15.424948470398377,4,18294,2.0
bragantino,Eduardo Sasha,33.0,11.0,1.73,900000000,1500000.0,70.0,1.58,2.0,-0.1,1,4.04561403508772,16.366992920898742,14.22097566607244,4,18294,2.0
ceara,Fernandinho,28.0,9.0,1.75,0,1000000.0,37.0,1.43,3.0,1.6,1,-0.95438596491228,0.910852570021544,13.815510557964274,5,17630,0.0
ceara,Pedro Henrique,35.0,8.0,1.79,0,600000.0,61.0,1.23,-3.0,-2.8,1,6.04561403508772,36.549449061249625,13.304684934198283,5,17630,0.0
ceara,Aylon,33.0,11.0,1.8,0,300000.0,41.0,0.92,2.0,1.2,1,4.04561403508772,16.366992920898742,12.611537753638338,5,17630,0.0
corinthians,Vitinho,31.0,9.0,1.8,0,1500000.0,26.0,1.5,1.0,2.2,1,2.04561403508772,4.184536780547863,14.22097566607244,6,17095,2.0
corinthians,Ángel Romero,33.0,8.0,1.76,0,1000000.0,48.0,1.16,-9.0,-2.0,1,4.04561403508772,16.366992920898742,13.815510557964274,6,17095,0.0
corinthians,Yuri Alberto,24.0,11.0,1.83,0,2200000.0,70.0,1.23,-3.0,0.2,1,-4.95438596491228,24.545940289319784,14.603967918328545,6,17095,2.0
cruzeiro,Wanderson,30.0,9.0,1.75,2000000,5000000.0,72.0,1.9,17.0,8.0,1,1.04561403508772,1.0933087103724235,15.424948470398377,7,17224,2.0
cruzeiro,Yannick Bolasie,36.0,9.0,1.85,0,250000.0,12.0,2.1,2.0,1.4,1,7.04561403508772,49.640677131425065,12.429216196844385,7,17224,0.0
cruzeiro,Marquinhos,22.0,8.0,1.75,3000000,5500000.0,25.0,1.93,3.0,2.8,1,-6.95438596491228,48.36348414896891,15.5202586502027,7,17224,2.0
cruzeiro,Kaio Jorge,23.0,11.0,1.82,7200000,7000000.0,79.0,2.05,21.0,12.6,1,-5.95438596491228,35.45471221914435,15.761420707019589,7,17224,2.0
