Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
atletico_mineiro,Everson,35.0,1.0,1.92,1000000,1200000.0,90.0,1.33,-2.0,2.4,1,6.04561403508772,36.549449061249625,13.997832114758229,1,19626,2.0
botafogo,Neto,36.0,1.0,1.9,0,1500000.0,90.0,3.0,2.0,0.8,1,7.04561403508772,49.640677131425065,14.22097566607244,3,18360,2.0
ceara,Fernando Miguel,40.0,1.0,1.91,0,100000.0,82.0,1.38,0.0,-1.6,1,11.04561403508772,122.00558941212682,11.512925464970229,5,17630,0.0
corinthians,Hugo Souza,26.0,1.0,1.99,800000000,10000000.0,90.0,1.13,-5.0,0.0,1,-2.95438596491228,8.728396429670665,16.11809565095832,6,17095,2.0
flamengo,Agustín Rossi,30.0,1.0,1.93,0,7000000.0,90.0,2.3,35.0,16.1,1,1.04561403508772,1.0933087103724235,15.761420707019589,8,16044,2.0
fortaleza,Brenno,26.0,1.0,1.9,0,1000000.0,90.0,0.5,-1.0,-1.5,1,-2.95438596491228,8.728396429670665,13.815510557964274,10,14121,0.0
fortaleza,Helton Leite,34.0,1.0,1.96,300000000,600000.0,90.0,0.0,-2.0,1.5,1,5.04561403508772,25.45822099107418,13.304684934198283,10,14121,0.0
gremio,Tiago Volpi,34.0,1.0,1.89,0,1000000.0,90.0,1.2,-6.0,-5.9,1,5.04561403508772,25.45822099107418,13.815510557964274,11,13966,0.0
mirassol,Walter,37.0,1.0,1.88,0,200000.0,90.0,1.92,9.0,1.6,1,8.04561403508772,64.7319052016005,12.206072645530174,13,12830,0.0
mirassol,Alex Muralha,35.0,1.0,1.89,0,175000.0,90.0,1.17,2.0,2.2,1,6.04561403508772,36.549449061249625,12.072541252905651,13,12830,0.0
palmeiras,Marcelo Lomba,38.0,1.0,1.89,0,150000.0,90.0,1.0,0.0,0.8,1,9.04561403508772,81.82313327177594,11.918390573078392,14,13482,0.0
vasco,Léo Jardim,30.0,1.0,1.88,2000000,7000000.0,90.0,1.0,0.0,-2.7,1,1.04561403508772,1.0933087103724235,15.761420707019589,18,10871,1.0
vasco,Daniel Fuzato,28.0,1.0,1.9,0,900000.0,46.0,0.5,-2.0,-0.2,1,-0.95438596491228,0.910852570021544,13.710150042306449,18,10871,1.0
internacional,Sergio Rochet,32.0,1.0,1.9,1450000,3500000.0,84.0,1.75,4.0,4.2,1,3.04561403508772,9.275764850723304,15.068273526459642,20,9130,1.0
