Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_MC,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
atletico_mineiro,Alexsander,21.0,5.0,1.78,6500000,5000000.0,58.0,1.0,-1.0,-0.1,1,-7.95438596491228,63.27225607879347,15.424948470398377,1,19626,2.0
atletico_mineiro,Fausto Vera,25.0,5.0,1.8,4500000,5000000.0,64.0,1.33,-3.0,-0.9,1,-3.95438596491228,15.637168359495226,15.424948470398377,1,19626,2.0
atletico_mineiro,Gabriel Menino,24.0,6.0,1.76,0,7000000.0,50.0,1.14,-1.0,-1.1,1,-4.95438596491228,24.545940289319784,15.761420707019589,1,19626,2.0
atletico_mineiro,Alan Franco,27.0,6.0,1.76,2100000,4000000.0,85.0,1.13,-3.0,2.1,1,-1.95438596491228,3.819624499846104,15.201804919084164,1,19626,2.0
atletico_mineiro,Gustavo Scarpa,31.0,7.0,1.77,5000000,7500000.0,76.0,1.26,-3.0,2.9,1,2.04561403508772,4.184536780547863,15.83041357850654,1,19626,2.0
atletico_mineiro,Igor Gomes,26.0,7.0,1.83,0,3500000.0,39.0,1.35,1.0,-0.1,1,-2.95438596491228,8.728396429670665,15.068273526459642,1,19626,2.0
atletico_mineiro,Reinier,23.0,7.0,1.85,0,1500000.0,52.0,0.0,-2.0,-0.5,1,-5.95438596491228,35.45471221914435,14.22097566607244,1,19626,2.0
bahia,Caio Alexandre,26.0,5.0,1.74,4500000,6500000.0,74.0,1.88,5.0,4.6,1,-2.95438596491228,8.728396429670665,15.687312734865866,2,19459,2.0
bahia,Erick,27.0,5.0,1.76,4500000,4500000.0,52.0,1.88,2.0,0.3,1,-1.95438596491228,3.819624499846104,15.319587954740548,2,19459,2.0
bahia,Nicolás Acevedo,26.0,5.0,1.73,2850000,4000000.0,33.0,2.21,4.0,-1.3,1,-2.95438596491228,8.728396429670665,15.201804919084164,2,19459,2.0
bahia,Jean Lucas,27.0,6.0,1.81,4500000,8000000.0,77.0,1.94,9.0,6.1,1,-1.95438596491228,3.819624499846104,15.89495209964411,2,19459,2.0
bahia,Everton Ribeiro,36.0,7.0,1.74,0,1500000.0,64.0,1.88,7.0,6.4,1,7.04561403508772,49.640677131425065,14.22097566607244,2,19459,2.0
botafogo,Danilo,24.0,5.0,1.77,23000000,2800000.0,39.0,1.5,6.0,1.4,1,-4.95438596491228,24.545940289319784,14.845129975145433,3,18360,2.0
botafogo,Marlon Freitas,30.0,5.0,1.85,0,6000000.0,85.0,1.65,8.0,4.6,1,1.04561403508772,1.0933087103724235,15.60727002719233,3,18360,2.0
botafogo,Allan,34.0,5.0,1.75,0,2000000.0,47.0,1.8,-2.0,0.0,1,5.04561403508772,25.45822099107418,14.50865773852422,3,18360,2.0
